IPAC 1505,0.9605,4.15,1.07,1.0,1.0,1.02
IPAC 2109,0.985,1460.0,94.0,1.0,1.0,1.02
IPAC 2113,1.1346,120.0,16.25,1.0,1.0,1.02
IPAC 2114,1.1,325.0,24.0,1.0,1.0,1.02
IPAC 2175,0.885,3000.0,85.0,1.0,1.0,1.02
IPAC 2212,0.95,80.0,10.0,1.0,1.0,1.02
IPAC 2300K,0.9379,5000.0,1100.0,1.0,1.0,1.02
IPAC 2310K,0.9303,3000.0,472.0,1.0,1.0,1.02
IPAC 2350,0.9307,2200.0,350.0,1.0,1.0,1.02
IPAC 2412,0.989,1000.0,125.0,1.0,1.0,1.02
IPAC 2416,1.012,1000.0,145.0,1.0,1.0,1.02
IPAC 2442,1.0064,2000.0,284.79,1.0,1.0,1.02
IPAC 2450,1.075,4000.0,230.0,1.0,1.0,1.02
IPAC 2454,1.08,2250.0,100.0,1.0,1.0,1.02
IPAC 2515,0.9785,448.0,33.82,1.0,1.0,1.02
IPAC 2520,0.94,100.0,10.0,1.0,1.0,1.02
IPAC 2521,0.948,91.6,11.0,1.0,1.0,0.28
IPAC 2525,0.811,15.0,8.0,1.0,1.0,1.02
IPAC 2560,1.0,2800.0,300.0,1.0,1.0,1.02
IPAC 2562,0.9665,140.0,14.0,1.0,1.0,1.02
IPAC 2564,1.01,120.0,16.28,1.0,1.0,1.02
IPAC 2565,0.98,100.0,10.0,1.0,1.0,1.02
IPAC 2579,1.087,2250.0,99.0,1.0,1.0,1.02
IPAC 2587,0.9964,535.0,38.0,1.0,1.0,1.02
IPAC 2590,0.95,75.0,17.0,1.0,1.0,1.02
IPAC 2605,0.948,78.0,6.0,1.0,1.0,1.02
IPAC 2611,0.9,100.0,10.0,1.0,1.0,1.02
IPAC 2612,1.183,12.0,3.0,1.0,1.0,1.02
IPAC 2615,1.048,15.0,2.0,1.0,1.0,1.02
IPAC 2617,0.97,75.0,13.0,1.0,1.0,1.02
IPAC 2619,1.08,100.0,55.0,1.0,1.0,1.02
IPAC 2625,1.15,50.0,6.5,1.0,1.0,1.02
IPAC 2636,0.9,100.0,10.0,1.0,1.0,1.02
IPAC 2639,0.791,5.6,1.9,1.0,1.0,1.02
IPAC 2640,0.895,17.0,4.0,1.0,1.0,1.02
IPAC 2642,0.98,300.0,20.0,1.0,1.0,1.02
IPAC 270-70D,0.9168,94.41,14.65,1.0,1.0,1.02
IPAC 291M,1.076,4000.0,230.0,1.0,1.0,1.02
IPAC 301,0.9125,135.0,18.0,1.0,1.0,1.02
IPAC 301 Plus,0.9125,135.0,18.0,1.0,1.0,1.02
IPAC 303,0.922,1296.0,46.5,1.0,1.0,1.02
IPAC 304,0.8961,580.0,44.1,1.0,1.0,1.02
IPAC 3101 Plus,0.8525,23.1,5.68,1.0,1.0,1.02
IPAC 36000P,0.9356,6729.15,209.35,1.0,1.0,1.02
IPAC 400,1.2,750.0,54.0,1.0,1.0,1.02
IPAC 401,1.18,750.06,86.71,1.0,1.0,1.02
IPAC 404,1.2,750.0,63.0,1.0,1.0,1.02
IPAC 404R,1.2,750.0,95.0,1.0,1.0,1.02
IPAC 410 Solvent,0.795,0.5,0.036,1.0,1.0,1.02
IPAC 424,1.2,750.0,54.0,1.0,1.0,1.02
IPAC 464,0.933,600.0,32.0,1.0,1.0,1.02
IPAC 493,1.11,1000.0,150.0,1.0,1.0,1.02
IPAC 499,1.186,2050.0,90.0,1.0,1.0,1.02
IPAC 5020C,0.863,16600.0,1200.0,1.0,1.0,1000000.0
IPAC 5095F,0.868,24858.0,1725.0,2.0,2.0,1000000.0
IPAC 511,0.853,22500.0,1100.0,5.2,5.2,1000000.0
IPAC 5120L,0.8547,12000.0,971.87,1.0,1.0,1.02
IPAC 526,0.8513,9850.0,600.0,2.5,2.5,1.02
IPAC 5279,0.905,27000.0,2000.0,10.0,10.0,1000000.0
IPAC 5280D,0.8975,10518.0,933.0,10.0,10.0,1000000.0
IPAC 531,0.8513,18900.0,1100.0,5.2,5.2,1000000.0
IPAC 542,0.8535,37500.0,2000.0,11.0,11.0,1000000.0
IPAC 5550C,0.86,25000.0,1512.0,1.0,1.0,1000.0
IPAC 5702,0.9,17500.0,1400.0,1.0,20.0,1000000.0
IPAC 5719,0.94,20000.0,1000.0,1.0,20.0,1000000.0
IPAC 6225,0.9457,150.0,23.0,1.0,1.0,1.02
IPAC 6226,0.9831,125.2,45.6,1.0,1.0,1.02
IPAC 6235,0.923,1840.0,69.5,1.0,1.0,1.02
IPAC 6255,0.954,1200.0,62.98,1.0,1.0,1.02
IPAC 63000,0.9842,3720.0,118.0,1.0,1.0,1.02
IPAC 6328,0.9606,800.0,55.0,1.0,1.0,1.02
IPAC 6390,0.9881,2054.0,90.4,1.0,1.0,1.02
IPAC 6410,1.115,520.0,40.0,1.0,1.0,1.02
IPAC 6510,0.9356,7.8,4000.0,1.0,1.0,1.02
IPAC 680T,0.9509,950.0,55.0,1.0,1.0,1.02
IPAC 6853R,1.0526,160.0,24.16,1.0,1.0,1.02
IPAC 689E,1.0114,519.0,38.55,1.0,1.0,1.02
IPAC 7062,1.11,0.0,0.0,1.0,1.0,1.02
IPAC 7105,0.913,78.3,15.0,1.0,1.0,1.02
IPAC 724D,1.0083,138.6,11.83,1.0,1.0,1.02
IPAC 7351,0.92,42.7,5.53,1.0,1.0,1.02
IPAC 744C,1.0887,162.0,14.1,1.0,1.0,1.02
IPAC 744D,1.0887,156.0,13.9,1.0,1.0,1.02
IPAC 745,1.07,143.0,13.0,1.0,1.0,1.02
IPAC 767,0.92,35.0,5.0,1.0,1.0,1.02
IPAC 7702,1.022,366.25,29.0,1.0,1.0,1.02
IPAC 869P,0.9308,8752.77,263.17,1.0,1.0,1.02
IPAC 9009,1.036,116.5,15.5,1.0,1.0,1.02
IPAC 9009P,0.9161,2250.0,99.4,1.0,1.0,1.02
IPAC 9109,1.0129,150.0,22.2,1.0,1.0,1.02
IPAC 9110,1.044,100.0,15.0,3.0,3.0,1.02
IPAC 9112,1.1201,331.0,22.6,1.0,1.0,1.02
IPAC 9120,1.11,284.0,23.14,1.0,1.0,1.02
IPAC 9130,0.97,210.0,18.0,3.0,3.0,1.02
IPAC 9190,1.042,300.0,42.0,1.0,1.0,1.02
IPAC 9201,0.9015,3000.0,750.0,1.0,1.0,1.02
IPAC 9205,1.0204,1200.0,88.5,1.0,1.0,1.02
IPAC 9215,0.8966,5615.0,366.0,1.0,1.0,1000.0
IPAC 9217,0.91,1795.0,180.0,1.0,1.0,1000000.0
IPAC 9220,0.9213,3100.0,315.0,1.0,1.0,1.02
IPAC 9348,0.941,1043.0,110.0,1.5,1.5,1.02
IPAC 9450,0.9189,438.0,33.0,1.0,1.0,1.02
IPAC 950 PIBSA,0.907,9000.0,575.0,1.0,1.0,1.02
IPAC 9530,1.0435,100.0,9.3,1.0,1.0,1.02
IPAC 9530i,0.9811,50.0,8.7,1.0,1.0,1.03
IPAC 9533,1.02,55.0,7.0,1.0,1.0,1.03
IPAC 953LS,0.92,100.0,13.0,1.0,1.0,0.02
IPAC 954 MP,0.95,50.0,5.0,1.0,1.0,1.02
IPAC 9545,0.9851,59.88,8.94,1.0,1.0,1.02
IPAC 9583,1.0435,100.0,14.0,1.0,1.0,1.02
IPAC 9583i,0.9811,50.0,8.81,1.0,1.0,1.03
IPAC 9585,1.02,47.0,6.6,1.0,1.0,1.03
IPAC 9593i,0.9811,50.0,8.81,1.0,1.0,1.03
IPAC 9624,0.976,871.0,110.0,1.0,1.0,1.02
IPAC 9625,0.8736,1000.0,44.0,1.0,1.0,1.02
IPAC 9626,0.9715,1500.0,88.0,1.0,1.0,1.02
IPAC 9725,0.91,2500.0,375.0,1.0,1.0,1.02
IPAC 9735,0.89,725.0,100.0,1.0,1.0,1000000.0
IPAC 9743,0.92,4000.0,390.0,1.0,1.0,1000000.0
IPAC 9756,0.91,3000.0,380.0,1.0,1.0,1000000.0
IPAC 9760,0.92,5000.0,400.0,1.0,1.0,1000000.0
IPAC 9762,0.903,2250.0,101.0,1.0,1.0,1000000.0
IPAC 9774,0.903,2400.0,110.0,1.0,1.0,1000000.0
IPAC 985,1.123,50.0,7.0,1.0,1.0,1.02
IPAC 9901,1.04,148.0,16.71,1.0,1.0,1.02
IPAC P-Tac,0.89,16000.0,2100.0,1.0,1.0,1.02
IPAC PB 122,0.91,11200.0,434.0,5.5,5.5,1000.0
IPAC PB 128,0.914,14804.0,564.0,5.5,5.5,1000.0
IPAC PB 16,0.874,238.0,11.2,5.5,5.5,1000.0
IPAC PB 18,0.885,420.0,11.9,5.5,5.5,1000.0
IPAC PB 24,0.89,1008.0,32.2,5.5,5.5,1000.0
IPAC PB 32,0.9,2772.0,91.0,5.5,5.5,1000.0
IPAC PB 8,0.829,26.6,1.96,5.5,5.5,1000.0
IPAC PS223,0.8865,18.82,3.83,1.0,1.0,1.02
Jet A Kerosene,0.7818,0.5,0.036,1.0,1.0,1.02
Kendex 150BS,0.8956,485.0,32.0,1.0,1.0,1.02
Kendex 150N,0.8654,30.0,5.2,1.0,1.0,1.02
Kendex 60N,0.8473,9.5,2.5,1.0,1.0,1.02
Lukoil 150N,0.8722,31.1,5.24,1.0,1.0,10000.0
Lukoil 500N,0.889,101.1,10.96,1.0,1.0,0.28
Newalta 100,0.85,18.9,4.0,1.0,1.0,1.02
Newalta 150,0.855,27.5,5.0,1.0,1.0,1.02
Newalta 450,0.865,77.2,9.9,1.0,1.0,1.02
Nexbase 3020,0.83,7.0,2.15,1.0,1.0,1.02
Nexbase 3030,0.825,12.0,3.0,1.0,1.0,1.02
Nexbase 3043,0.831,20.5,4.3,1.0,1.0,1.02
Nexbase 3050,0.833,25.2,5.0,1.0,1.0,1.02
Nexbase 3060,0.841,32.0,5.9,1.0,1.0,1.02
Nexbase 3080,0.843,50.0,8.0,1.0,1.0,1.02
Nynas HR 100,0.903,20.0,3.65,1.0,1.0,1.02
Nynas HR 1200,0.926,232.0,12.85,1.0,1.0,1.02
Nynas HR 300,0.915,58.8,6.75,1.0,1.0,1.02
PetroCanada Paraflex HT 15,0.86,15.4,3.5,1.0,1.0,1.02
PetroCanada Paraflex HT 22,0.863,21.8,4.3,1.0,1.0,1.02
PetroCanada Paraflex HT 32,0.864,34.2,5.5,1.0,1.0,1.02
PetroCanada PL 60,0.851,10.2,2.39,1.0,1.0,1.02
PetroCanada PL 65,0.833,9.72,2.6,1.0,1.0,1.02
PetroCanada Purity 1003,0.84,21.2,4.4,1.0,1.0,1.02
PetroCanada Purity 1020,0.862,22.3,4.36,1.0,1.0,1.02
PetroCanada Purity 1810,0.865,35.3,5.8,1.0,1.0,1.02
PetroCanada Purity 2305,0.8608,45.4,7.0,1.0,1.0,1.02
PetroCanada Purity 3501,0.86,68.0,9.34,1.0,1.0,1.02
PetroCanada Purity 5300,0.874,101.0,11.24,1.0,1.0,1.02
PetroCanada VHVI2,0.8329,9.3,2.5,1.0,1.0,2.28
PetroCanada VHVI4,0.841,20.8,4.5,1.0,1.0,2.28
PetroCanada VHVI6,0.845,34.1,6.0,1.0,1.0,2.28
PetroCanada VHVI8,0.85,54.2,8.0,1.0,1.0,2.28
RHT 100,0.86,21.15,4.15,1.0,1.0,1.02
RHT 120,0.861,25.0,4.6,1.0,1.0,1.02
RHT 150,0.863,29.3,5.1,1.0,1.0,1.02
RHT 240,0.867,46.0,6.8,1.0,1.0,1.02
RHT 70,0.858,12.5,3.0,1.0,1.0,1.02
RHT 85,0.8613,17.3,3.8,1.0,1.0,1.02
S Oil P-31,0.8666,30.14,5.189,1.0,1.0,1.02
S Oil P-96,0.8811,95.79,10.97,1.0,1.0,1.02
Shell HVI 105 (Rott),0.8852,63.6,8.3,1.0,1.0,1.02
Shell HVI 160B (Rott),0.8875,94.6,10.9,1.0,1.0,1.02
Shell HVI 60 (Rott),0.8687,25.7,4.7,1.0,1.0,1.02
Shell HVI 650 (Rott),0.9046,478.0,31.1,1.0,1.0,1.02
Shell HVI 65B (Rott),0.8692,35.2,5.15,1.0,1.0,1.02
Solvent 142-66,0.7818,0.5,0.036,1.0,1.0,1.02
SpectraSyn PAO 100,0.853,1240.0,100.0,1.0,1.0,1.02
